,DrugBank ID,Name,Type,protein_id,UniProt Name,Esophagus,Brain,Uterus,Lung,Skin,Testis,Small intestine,Adrenal gland,Pancreas,Muscle,Blood,Colon,Liver,Heart,Adipose tissue,Kidney,Thyroid,Spleen,Bladder,Ovary,Prostate,Stomach,Blood vessel,Nerve,Breast,Salivary gland,Vagina
211,DB01400,Neostigmine,SmallMoleculeDrug,P22303,Acetylcholinesterase,0.0,4.927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7960000000000003,4.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212,DB00941,Hexafluronium,SmallMoleculeDrug,P06276,Cholinesterase,0.0,4.88,0.0,0.0,4.3839999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.36,0.0,0.0,0.0,0.0,0.0
213,DB01057,Echothiophate,SmallMoleculeDrug,P06276,Cholinesterase,0.0,4.88,0.0,0.0,4.3839999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.36,0.0,0.0,0.0,0.0,0.0
214,DB01221,Ketamine,SmallMoleculeDrug,P06276,Cholinesterase,0.0,4.88,0.0,0.0,4.3839999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.36,0.0,0.0,0.0,0.0,0.0
231,DB01226,Mivacurium,SmallMoleculeDrug,P06276,Cholinesterase,0.0,4.88,0.0,0.0,4.3839999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.36,0.0,0.0,0.0,0.0,0.0
234,DB00184,Nicotine,SmallMoleculeDrug,P36544,Neuronal acetylcholine receptor subunit alpha-7,0.0,4.33,0.0,0.0,4.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1739999999999995,0.0,0.0,0.0,0.0,0.0
242,DB00312,Pentobarbital,SmallMoleculeDrug,P36544,Neuronal acetylcholine receptor subunit alpha-7,0.0,4.33,0.0,0.0,4.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1739999999999995,0.0,0.0,0.0,0.0,0.0
250,DB00333,Methadone,SmallMoleculeDrug,P36544,Neuronal acetylcholine receptor subunit alpha-7,0.0,4.33,0.0,0.0,4.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1739999999999995,0.0,0.0,0.0,0.0,0.0
256,DB00418,Secobarbital,SmallMoleculeDrug,P36544,Neuronal acetylcholine receptor subunit alpha-7,0.0,4.33,0.0,0.0,4.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1739999999999995,0.0,0.0,0.0,0.0,0.0
260,DB00514,Dextromethorphan,SmallMoleculeDrug,P36544,Neuronal acetylcholine receptor subunit alpha-7,0.0,4.33,0.0,0.0,4.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1739999999999995,0.0,0.0,0.0,0.0,0.0
273,DB00599,Thiopental,SmallMoleculeDrug,P36544,Neuronal acetylcholine receptor subunit alpha-7,0.0,4.33,0.0,0.0,4.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1739999999999995,0.0,0.0,0.0,0.0,0.0
277,DB00657,Mecamylamine,SmallMoleculeDrug,P36544,Neuronal acetylcholine receptor subunit alpha-7,0.0,4.33,0.0,0.0,4.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1739999999999995,0.0,0.0,0.0,0.0,0.0
279,DB00794,Primidone,SmallMoleculeDrug,P36544,Neuronal acetylcholine receptor subunit alpha-7,0.0,4.33,0.0,0.0,4.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1739999999999995,0.0,0.0,0.0,0.0,0.0
285,DB00849,Methylphenobarbital,SmallMoleculeDrug,P36544,Neuronal acetylcholine receptor subunit alpha-7,0.0,4.33,0.0,0.0,4.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1739999999999995,0.0,0.0,0.0,0.0,0.0
289,DB00898,Ethanol,SmallMoleculeDrug,P36544,Neuronal acetylcholine receptor subunit alpha-7,0.0,4.33,0.0,0.0,4.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1739999999999995,0.0,0.0,0.0,0.0,0.0
304,DB00915,Amantadine,SmallMoleculeDrug,P36544,Neuronal acetylcholine receptor subunit alpha-7,0.0,4.33,0.0,0.0,4.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1739999999999995,0.0,0.0,0.0,0.0,0.0
307,DB01174,Phenobarbital,SmallMoleculeDrug,P36544,Neuronal acetylcholine receptor subunit alpha-7,0.0,4.33,0.0,0.0,4.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1739999999999995,0.0,0.0,0.0,0.0,0.0
312,DB01273,Varenicline,SmallMoleculeDrug,P36544,Neuronal acetylcholine receptor subunit alpha-7,0.0,4.33,0.0,0.0,4.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1739999999999995,0.0,0.0,0.0,0.0,0.0
315,DB01354,Heptabarbital,SmallMoleculeDrug,P36544,Neuronal acetylcholine receptor subunit alpha-7,0.0,4.33,0.0,0.0,4.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1739999999999995,0.0,0.0,0.0,0.0,0.0
318,DB01355,Hexobarbital,SmallMoleculeDrug,P36544,Neuronal acetylcholine receptor subunit alpha-7,0.0,4.33,0.0,0.0,4.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1739999999999995,0.0,0.0,0.0,0.0,0.0
321,DB01234,Dexamethasone,SmallMoleculeDrug,P35228,"Nitric oxide synthase, inducible",0.0,3.005,0.0,4.441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.521,3.0269999999999997,0.0,4.489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
329,DB00187,Esmolol,SmallMoleculeDrug,P08588,Beta-1 adrenergic receptor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5380000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
330,DB00195,Betaxolol,SmallMoleculeDrug,P08588,Beta-1 adrenergic receptor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5380000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
332,DB00217,Bethanidine,SmallMoleculeDrug,P08588,Beta-1 adrenergic receptor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5380000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
336,DB00221,Isoetharine,SmallMoleculeDrug,P08588,Beta-1 adrenergic receptor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5380000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
338,DB00248,Cabergoline,SmallMoleculeDrug,P08588,Beta-1 adrenergic receptor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5380000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
357,DB00335,Atenolol,SmallMoleculeDrug,P08588,Beta-1 adrenergic receptor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5380000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
359,DB00373,Timolol,SmallMoleculeDrug,P08588,Beta-1 adrenergic receptor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5380000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
361,DB00408,Loxapine,SmallMoleculeDrug,P08588,Beta-1 adrenergic receptor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5380000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
387,DB00489,Sotalol,SmallMoleculeDrug,P08588,Beta-1 adrenergic receptor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5380000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
390,DB00521,Carteolol,SmallMoleculeDrug,P08588,Beta-1 adrenergic receptor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5380000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
392,DB00540,Nortriptyline,SmallMoleculeDrug,P08588,Beta-1 adrenergic receptor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5380000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
